Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15345313,2,"Saturday, May 18, 2013 05:24:44 UTC",33.5192,-116.4515,1.1,10.50,16,"Southern California"
us,b000gy5v,4,"Saturday, May 18, 2013 05:17:13 UTC",-17.8922,-178.6279,4.6,630.70,58,"Fiji region"
ci,15345297,2,"Saturday, May 18, 2013 05:17:09 UTC",33.2660,-115.5370,2.4,3.70,14,"Southern California"
ak,10719519,2,"Saturday, May 18, 2013 05:12:09 UTC",59.1004,-152.8324,3.3,70.30,59,"Southern Alaska"
nc,71993491,0,"Saturday, May 18, 2013 05:07:21 UTC",38.8188,-122.8043,1.2,2.40,21,"Northern California"
ci,15345273,2,"Saturday, May 18, 2013 04:58:04 UTC",32.8952,-116.2622,1.3,9.70,21,"Southern California"
pr,13138003,0,"Saturday, May 18, 2013 04:55:31 UTC",19.3882,-66.3342,3.4,85.00,13,"Puerto Rico region"
pr,13138002,0,"Saturday, May 18, 2013 04:54:03 UTC",19.5382,-66.2947,2.8,13.00, 4,"Puerto Rico region"
ak,10719512,1,"Saturday, May 18, 2013 04:37:48 UTC",63.1694,-150.4620,1.4,102.90, 6,"Central Alaska"
us,b000gy4t,6,"Saturday, May 18, 2013 04:27:53 UTC",-40.4856,-91.3788,4.9,10.00,31,"West Chile Rise"
ci,15345257,2,"Saturday, May 18, 2013 04:23:45 UTC",33.1490,-115.6887,1.4,0.70,11,"Southern California"
pr,13138001,0,"Saturday, May 18, 2013 04:18:06 UTC",19.4918,-66.3188,3.5,25.00,16,"Puerto Rico region"
ak,10719506,2,"Saturday, May 18, 2013 04:12:41 UTC",51.6490,-179.7913,2.3,84.20,11,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000gy4a,C,"Saturday, May 18, 2013 04:05:42 UTC",-53.1072,22.1218,5.6,9.70,91,"south of Africa"
us,b000gy47,4,"Saturday, May 18, 2013 03:44:03 UTC",52.3753,159.8511,4.4,64.10,23,"off the east coast of the Kamchatka Peninsula, Russia"
ci,15345249,2,"Saturday, May 18, 2013 03:43:42 UTC",34.0028,-116.6333,1.2,18.30,22,"Southern California"
